rules,support,confidence,coverage,lift,count
{doc_c21} => {doc_8f9},0.0010808061542374,0.220779220779221,0.00489541611036938,18.0866477272727,17
{doc_87c} => {doc_882},0.00133511348464619,0.6,0.00222518914107699,171.589090909091,21
{doc_882} => {doc_87c},0.00133511348464619,0.381818181818182,0.00349672579312099,171.589090909091,21
{doc_649} => {doc_5ca},0.0011443829868396,0.214285714285714,0.00534045393858478,40.125,18
{doc_5ca} => {doc_649},0.0011443829868396,0.214285714285714,0.00534045393858478,40.125,18
{doc_5ca} => {doc_7da},0.0011443829868396,0.214285714285714,0.00534045393858478,48.15,18
{doc_7da} => {doc_5ca},0.0011443829868396,0.257142857142857,0.00445037828215398,48.15,18
{doc_4ac} => {doc_16e},0.00279738063449679,0.431372549019608,0.00648483692542438,53.4256600277906,44
{doc_16e} => {doc_4ac},0.00279738063449679,0.346456692913386,0.00807425774047937,53.4256600277906,44
{doc_4da} => {doc_84b},0.00178015131286159,0.231404958677686,0.00769279674486617,34.0165289256198,28
{doc_84b} => {doc_4da},0.00178015131286159,0.261682242990654,0.00680272108843537,34.0165289256198,28
{doc_972} => {doc_8f9},0.00216161230847479,0.228187919463087,0.00947294805772777,18.6935822147651,34
{doc_72f} => {doc_813},0.00406891728654078,0.351648351648352,0.0115709835336004,16.8117839607201,64
{doc_671} => {doc_707},0.0010172293216352,0.216216216216216,0.00470468561256278,21.6615596488208,16
{doc_8a8} => {doc_8af},0.00171657448025939,0.290322580645161,0.00591264543200458,47.0771533089458,27
{doc_8af} => {doc_8a8},0.00171657448025939,0.278350515463918,0.00616695276241338,47.0771533089458,27
{doc_5c9} => {doc_359},0.0010808061542374,0.22972972972973,0.00470468561256278,33.7702702702703,17
{doc_466} => {doc_19f},0.00152584398245279,0.226415094339623,0.00673914425583317,25.8063986874487,24
{doc_424} => {doc_359},0.00184372814546379,0.302083333333333,0.00610337592981118,44.40625,29
{doc_359} => {doc_424},0.00184372814546379,0.271028037383178,0.00680272108843537,44.40625,29
{doc_1a2} => {doc_4c7},0.00209803547587259,0.239130434782609,0.00877360289910357,17.9965675057208,33
{doc_359} => {doc_4c7},0.00139869031724839,0.205607476635514,0.00680272108843537,15.4736842105263,22
{doc_60e} => {doc_6bf},0.00267022696929239,0.274509803921569,0.00972725538813656,21.0622668579627,42
{doc_6bf} => {doc_60e},0.00267022696929239,0.204878048780488,0.013033250683451,21.0622668579627,42
{doc_364} => {doc_71},0.00273380380189459,0.233695652173913,0.0116981371988048,15.9125494071146,43
{doc_6e8,doc_6e9} => {doc_6e7},0.0010808061542374,0.894736842105263,0.0012079598194418,402.094736842105,17
{doc_6e7,doc_6e9} => {doc_6e8},0.0010808061542374,0.85,0.001271536652044,417.8015625,17
{doc_6e7,doc_6e8} => {doc_6e9},0.0010808061542374,0.80952380952381,0.0013351134846462,454.75,17
